su,bl,type,tr,let,num,rilet,vac,vse,rt,acc,respSE,respRT,statAC,statSE,statRT,stratac,strat,stratrt,item
1,11,3,3,7,9,16,0,0,991,1,16,0,0,1,54,1,2,963,8
1,11,3,4,2,7,9,0,0,753,1,9,0,0,1,112,0,0,0,3
1,11,3,5,0,7,7,0,0,740,1,7,0,0,1,80,0,0,0,1
1,11,3,6,9,9,18,0,0,736,1,18,0,0,1,89,1,2,859,10
1,11,3,7,1,9,10,0,0,819,1,10,0,0,1,71,1,2,861,2
1,11,3,8,5,9,14,0,0,1408,1,14,0,0,1,78,1,2,881,6
1,11,3,9,3,9,12,0,0,1489,1,12,0,0,1,76,1,2,967,4
1,11,3,10,4,7,11,0,0,772,1,11,0,0,1,65,0,0,0,5
1,12,3,1,6,7,13,0,0,696,1,13,0,0,1,64,1,2,843,7
1,12,3,2,7,9,16,0,0,782,1,16,0,0,1,97,0,0,0,8
1,12,3,3,2,7,9,0,0,961,1,9,0,0,1,71,1,2,962,3
1,12,3,4,4,7,11,0,0,726,1,11,0,0,1,72,1,2,938,5
1,12,3,5,0,7,7,0,0,694,1,7,0,0,1,72,1,2,862,1
1,12,3,6,8,7,15,0,0,1070,1,15,0,0,1,65,1,2,796,9
1,12,3,7,3,9,12,0,0,745,1,12,0,0,1,96,0,0,0,4
1,12,3,8,1,9,10,0,0,907,1,10,0,0,1,63,0,0,0,2
1,12,3,9,9,9,18,0,0,838,1,18,0,0,1,54,0,0,0,10
1,12,3,10,5,9,14,0,0,788,1,14,0,0,1,65,0,0,0,6
1,13,3,1,3,9,12,0,0,697,1,12,0,0,1,69,1,2,1022,4
1,13,3,2,4,7,11,0,0,652,1,11,0,0,1,56,0,0,0,5
1,13,3,3,7,9,16,0,0,793,1,16,0,0,1,69,1,2,1156,8
1,13,3,4,9,9,18,0,0,761,1,18,0,0,1,122,1,2,1074,10
1,13,3,5,1,9,10,0,0,812,1,10,0,0,1,52,1,2,890,2
1,13,3,6,0,7,7,0,0,688,1,7,0,0,1,96,0,0,0,1
1,13,3,7,8,7,15,0,0,662,1,15,0,0,1,81,0,0,0,9
