subject,trial,first.correct.trial.item,trials.since.1st.correct,reversions,item,strategy,is.alg,is.ret,RT,logRT,pred.logRT.ps,pred.RT.ps,pred.logRT.de,pred.RT.de
19,25,25,1,FALSE,7,2,0,1,5450,8.60337088765729,7.717246627746865,2246.764876249183,8.513385771733285,4980.999096745549
19,26,25,2,FALSE,7,2,0,1,2166,7.680637427560936,7.7081602908507385,2226.442481540084,8.21537324912457,3697.356001964278
19,27,25,3,FALSE,7,2,0,1,1657,7.4127640174265625,7.6994169175907405,2207.060718349365,7.957607971044333,2857.2301943734606
19,1,27,-25,FALSE,10,1,1,0,7696,8.948455992345542,8.511609620947125,4972.159943442294,8.554674797009406,5190.964499818072
19,2,27,-24,FALSE,10,1,1,0,6999,8.85352256068954,8.511609620947125,4972.159943442294,8.54392344457997,5135.453554615076
19,3,27,-23,FALSE,10,1,1,0,6531,8.784315349902657,8.511609620947125,4972.159943442294,8.535803841959382,5093.924540182292
19,4,27,-22,FALSE,10,1,1,0,5861,8.676075516476429,8.511609620947125,4972.159943442294,8.528933897795287,5059.049494985571
19,5,27,-21,FALSE,10,1,1,0,4941,8.50532301884575,8.511609620947125,4972.159943442294,8.522803617794999,5028.130971476451
19,6,27,-20,FALSE,10,1,1,0,4618,8.43771698991444,8.511609620947125,4972.159943442294,8.517157289535493,4999.8204938186045
19,7,27,-19,FALSE,10,1,1,0,4946,8.506334448081361,8.511609620947125,4972.159943442294,8.511843621250115,4973.323566514343
19,8,27,-18,FALSE,10,1,1,0,4555,8.423980809694058,8.511609620947125,4972.159943442294,8.506762530971269,4948.117751227674
19,9,27,-17,FALSE,10,1,1,0,4107,8.320448113956559,8.511609620947125,4972.159943442294,8.501841784263373,4923.829125191213
19,10,27,-16,FALSE,10,1,1,0,4639,8.442254104751743,8.511609620947125,4972.159943442294,8.497025105780383,4900.169649176909
19,11,27,-15,FALSE,10,1,1,0,4213,8.345930261979017,8.511609620947125,4972.159943442294,8.49226532447305,4876.901333255221
19,12,27,-14,FALSE,10,1,1,0,4691,8.453401058328458,8.511609620947125,4972.159943442294,8.48751986311723,4853.813012137843
19,13,27,-13,FALSE,10,1,1,0,4803,8.476996001664824,8.511609620947125,4972.159943442294,8.482747241323363,4830.702790413568
19,14,27,-12,FALSE,10,1,1,0,5157,8.548110294050959,8.511609620947125,4972.159943442294,8.477903758184429,4807.361934051168
