su,bl,item,RT,itype,first,strat,bl_r
45,16,20,2151,1,12,2,5
45,18,20,718,1,12,2,7
45,19,20,3929,1,12,2,8
45,20,20,2657,1,12,2,9
45,21,20,1138,1,12,2,10
45,22,20,1420,1,12,2,11
45,23,20,1698,1,12,2,12
45,24,20,1128,1,12,2,13
45,25,20,1348,1,12,2,14
45,26,20,3231,1,12,2,15
45,2,21,8289,1,11,1,-8
45,8,21,8961,1,11,1,-2
45,9,21,8169,1,11,1,-1
45,11,21,8570,1,11,2,1
45,12,21,1676,1,11,2,2
45,15,21,1415,1,11,2,5
45,16,21,1284,1,11,2,6
45,17,21,1530,1,11,2,7
45,18,21,1486,1,11,2,8
45,19,21,1255,1,11,2,9
45,20,21,1167,1,11,2,10
45,21,21,1096,1,11,2,11
45,22,21,634,1,11,2,12
45,23,21,1093,1,11,2,13
45,24,21,978,1,11,2,14
45,25,21,1279,1,11,2,15
45,26,21,945,1,11,2,16
45,1,22,5937,2,13,1,-11
45,2,22,5968,2,13,1,-10
45,3,22,6505,2,13,1,-9
45,5,22,5625,2,13,1,-7
45,7,22,6852,2,13,1,-5
45,8,22,5991,2,13,1,-4
45,9,22,6847,2,13,1,-3
45,11,22,6741,2,13,1,-1
45,12,22,6452,2,13,1,0
45,13,22,1901,2,13,2,1
45,15,22,6603,2,13,1,3
45,18,22,1770,2,13,2,6
45,19,22,2014,2,13,2,7
45,20,22,1780,2,13,2,8
45,21,22,2861,2,13,2,9
45,22,22,3225,2,13,2,10
45,23,22,1393,2,13,2,11
45,24,22,1581,2,13,2,12
45,25,22,7033,2,13,2,13
45,26,22,1397,2,13,2,14
45,2,23,7657,1,19,1,-16
45,3,23,6766,1,19,1,-15
45,4,23,7332,1,19,1,-14
45,7,23,7180,1,19,1,-11
45,8,23,7561,1,19,1,-10
45,9,23,6666,1,19,1,-9
45,11,23,8175,1,19,1,-7
45,12,23,7369,1,19,1,-6
45,13,23,8014,1,19,1,-5
45,14,23,6756,1,19,1,-4
45,16,23,7527,1,19,1,-2
45,17,23,8637,1,19,1,-1
45,18,23,9408,1,19,1,0
45,19,23,6856,1,19,2,1
45,20,23,4301,1,19,2,2
45,21,23,4413,1,19,2,3
45,22,23,7933,1,19,2,4
45,24,23,1157,1,19,2,6
45,25,23,2108,1,19,2,7
45,26,23,1854,1,19,2,8
45,4,24,5520,1,19,1,-14
45,5,24,5337,1,19,1,-13
45,6,24,5306,1,19,1,-12
45,9,24,5735,1,19,1,-9
45,10,24,5332,1,19,1,-8
45,13,24,6156,1,19,1,-5
45,14,24,5416,1,19,1,-4
45,15,24,5069,1,19,1,-3
45,16,24,5530,1,19,1,-2
45,17,24,7064,1,19,1,-1
45,19,24,1539,1,19,2,1
45,20,24,1724,1,19,2,2
45,21,24,2056,1,19,2,3
45,22,24,2243,1,19,2,4
45,23,24,1784,1,19,2,5
45,24,24,1548,1,19,2,6
45,25,24,2199,1,19,2,7
45,26,24,1263,1,19,2,8
45,2,25,6952,1,19,1,-16
45,3,25,6862,1,19,1,-15
45,5,25,6731,1,19,1,-13
45,6,25,9544,1,19,1,-12
45,7,25,6681,1,19,1,-11
45,8,25,6817,1,19,1,-10
45,9,25,7108,1,19,1,-9
45,10,25,6515,1,19,1,-8
45,12,25,6210,1,19,1,-6
45,13,25,6601,1,19,1,-5
45,14,25,7856,1,19,1,-4
45,15,25,6330,1,19,1,-3
45,16,25,8322,1,19,1,-2
45,19,25,1729,1,19,2,1
45,21,25,2476,1,19,2,3
45,22,25,1702,1,19,2,4
45,23,25,2382,1,19,2,5
